Somali,English,risk_category,risk_subcategory,risk_level
Khamiista goob kasta oo slnd ku taala hala burburiyo lacag ahana kala sii baxa kaadhadhkoodana u daadiya,"On Thursday, destroy every location in Somaliland, withdraw money beforehand and throw away their cards.",,,
Premier Bank waa in laga tashadaa reer somaliland,"Premier Bank must be decided upon [dealt with], people of Somaliland.",,,
Waaan laga guuraa Mar hadaad Qayb ka tihiin dhibaataynta Dalkayaga,We are moving away [from you] since you are part of the harming of our country.,,,
Waa inuu beri nio,"It must be tomorrow, bro.",,,
Tuugo umada xaday,Thieves who stole from the nation.,,,
Wax yarbaa ka hadhayw khamiista halagaadho allihiin baad u aamusantihiine anaga qaranlayaga kama kaftanee,"Little time is left, let Thursday arrive; you are silent for your God [shocked], but we do not joke about our nationhood.",,,
Dalka kabaxa,Get out of the country.,,,
Mid Baasaboor ka Somalia turkey ga ku joogo ayaa ku leh xogtiina privacy maahan indha Adeeg badan wuxu fifa premier wallet âœŒï¸ğŸ˜,"One with a Somalia passport staying in Turkey is telling you your data isn't private; so much impudence, this thing is FIFA Premier wallet.",,,
KACDOON SHACAB... CANCELLED premier bank,PUBLIC UPRISING... CANCELLED Premier Bank.,,,
Dalkyga so faragaliseen somaha,"You interfered in my country, didn't you.",,,
Please use dahabshiil and daraslam bank,Please use dahabshiil and daraslam bank.,,,
Wa ino iyo barri tuugayahay qaran dumiskii,"It is between us and tomorrow, you thieves, destroyers of the nation.",,,
Bank wixii lacag idinku jirta waa inad kala baxdaan reer SOMALILAND waa cadowga dalka buu ka mid yahay ee mafiada XAMAR lugta u qabtay bulshada somaliland,"People of Somaliland must withdraw whatever money is in the bank; it is one of the enemies of the country, the XAMAR [Mogadishu] mafia that has grabbed the leg of the Somaliland society.",,,
dadka maxaa ka qaldan premier bank ma dowlad buu idinla eekaday waa xarun ganacsi oo dowlad iyo shacab ba ciday doonta accoun ka furan karto...,What is wrong with people? Did Premier Bank look like a government to you? It is a business center where government or public or anyone can open an account...,,,
Daalimiin,Oppressors/Tyrants.,,,
Premier wallet lhayninee iga soo doonta Mastercard kiinaan intaanaan gubin qashinyahay,"I don't have Premier wallet, come get your Mastercard from me before I burn it, you trash.",,,
Shaqo wacan,Good work.,,,
Naga soo hagaaga Ey ey dhashy baa tihiin,"Fix yourselves for us, you are dogs born of dogs.",,,
Premier Bank to the world Foostadii ugu weyn abid baa niila soo riixay oo dhanka ganacsiga ah...,"Premier Bank to the world, the biggest barrel ever has been pushed towards us in terms of business...",,,
Khamiista bal hafurnato walahi Somaliland waad ka guuraysan somalia kaliya ku eekandoontaan,"Just let it be open on Thursday, I swear you will move out of Somaliland, you will be limited to Somalia only.",,,
Munaafiqiinti qaranka wa ino bari i.a,"The hypocrites of the nation, it is tomorrow for us, Insha Allah.",,,
Aroorta 13 November hassan bahane bal wax Hayden qabto cadho ha lawada saro ğŸ˜¡,"On the morning of November 13th, Hassan Bahane, let's see what you have, let everyone mount their anger ğŸ˜¡.",,,
E Visa imisa iidinka soo xarooday????,How much revenue came to you from E-Visa????,,,
Somalilamd Kama sii jiraysaan dagaalka aadkula jirtaan dalkayaguna maaha mid aad ka macashi doontaan insha Allah,"You will not continue to exist in Somaliland; the war you are waging against our country is not one you will profit from, Insha Allah.",,,
Horumar wacan,Good progress.,,,
lacaga kla baxa dhamaan,Withdraw all the money.,,,
Waa laydinka qabanayaaa dalka dhowaan,You will be stopped from the country soon.,,,
Jaabir Kayse Cali shir saxafaded kii ay qabanayeen ma kan baa kkkkkkkkk,"Jaabir Kayse Cali, was the press conference they were holding about this? kkkkkkk.",,,
PREMIER BANK WAA BANK DALKA HORUMAR KU SOO KODHIYAY,PREMIER BANK IS A BANK THAT BROUGHT PROGRESS TO THE COUNTRY.,,,
Un fellow waa bangi qaran dumisa yaan waxba la dhigan,"Unfollow, it is a nation-destroying bank, don't deposit anything.",,,
Dhibta Shacabka reer Somaliland ee Qaybta ka noqoteen waxay sababi doontaa inaad kacdaan isla markaana Maxkamad laydin saari doono.,The harm to the people of Somaliland that you became part of will cause you to go bankrupt and also you will be put on trial.,,,
Ka yaaca. Ka yaaca baad ururiyaasha shisheeyaha.,"Run away from it. Run away from it, you collectors of foreigners.",,,
Beri wlhy wa la burburinaya xarumihiina hadaan midh nagasoo hadhayn nacala idin dhalee,"Tomorrow, I swear, your centers will be destroyed if even one of us is left, curse on you.",,,
War wa laydin shidaya khamista suga anagu wxa ma qorneğŸ˜‚,"Hey, you will be lit up [trouble coming], wait for Thursday, we don't just write things ğŸ˜‚.",,,
When are you going to add options from crypto to Premier Bank account.,When are you going to add options from crypto to Premier Bank account.,,,
Waa inaad Premier Bank Somaliland ku qortaan Page kiina Hadii kle talaabo aydan mahadin by shacabka Somaliland idinka qaadayaan.,"You must write 'Premier Bank Somaliland' on your Page; otherwise, the people of Somaliland will take a step/action you will not appreciate against you.",,,
Tuugta xamar la shaqeysa wadanka waa ladinka saaraya,The thieves working with Xamar [Mogadishu] will be removed from the country.,,,
War munaafiqiin baad tihiin xasan gurguurte ushaqaynayaa kabaxa soomaliland ğŸ˜‚,"Hey, you are hypocrites working for Hassan Gurguurte [President Hassan Sheikh], get out of Somaliland ğŸ˜‚.",,,
Dooni mayo premier bank futadii xasan sheikh,"I don't want Premier Bank, the ass of Hassan Sheikh.",,,
Koonto maxaad ka wadaan wamaxy afkaasi,"What are you doing with 'Koonto' [Account], what language is that?",,,
"Hadiiba aad bilowdeen inaad reer Soomaliland lacag baad ah oo xaaran ah uga qaadan Xasan Sheekh, Somaliland way idiinka dhamaatay...","Since you have started taking extortion money and haram money from the people of Somaliland for Hassan Sheikh, Somaliland is finished for you...",,,
Tuugo,Thieves.,,,
Waa In ber iyo khamista,It is [between us] tomorrow and Thursday.,,,
Tuugta khiyaano qaran,The thieves of national treason.,,,
Come Soon Nov 13 Malinti QarankağŸ˜‚ğŸ˜‚,"Come Soon Nov 13, National Day ğŸ˜‚ğŸ˜‚.",,,
Waar is diyaariya bati tuugyahay khaayinul wadanka ahi lacagtayadiina waa idinka la baxnay wadankana waad nooga baxaysaan be ready tomorrow,"Prepare yourselves, you big thieves, traitors of the country; we withdrew our money from you and you are leaving the country for us, be ready tomorrow.",,,
waana iska saare maxaa adeeg ah,"And I removed it, what kind of service is this.",,,
Wallet maanu ld numar lahayn,Doesn't the Wallet have an ID number?,,,
Lacagtaydii waan kala baxay premier bank,I withdrew my money from Premier Bank.,,,
Bank caalami ah,International Bank.,,,
Wallet la idiinkama fadhiyo ee eedda ama iska duwa oo qodob aanu aqbli karno la gole yimaada...,We don't expect/want a Wallet from you; either clear the accusation and come to the public with a point we can accept...,,,
,,,,
Omar Agay: Dadka horbodayo dacayada riqiista ha ogaden somali waxa keliya ooy kanoled waaganac siga xorta ah hadan lajoojin dulmiga ey wadan dadka kasojeda gobolada wawooyi...,Let the people leading the cheap propaganda know that Somalis only survive on free trade; if the injustice they are carrying out against people from the Northern regions [Somaliland] is not stopped...,,,
Wasiim Mahmut: Bari waan is arki doonaan,Tomorrow we will see each other.,,,
Mukhtaar Abdi Ramadaan: Bank waxaanu leenahay foostada evisa dhinac iskaga riixa,"We say to the bank, push the E-Visa barrel aside [distanced yourselves from the visa tax corruption].",,,
Xayaad Xigma Cumar: Burcad tuug maafiya ayaad isku darsateen,"You have combined bandits, thieves, and mafia all in one.",,,
Libn LÃ­Ã­fo: Maxa adeeG ah wan delete ğŸ˜‚ğŸ˜‚,What service? I am deleting it ğŸ˜‚ğŸ˜‚.,,,
Cabdiraxmaan Cabditimir: Wa in sidii soltelco iyo telesom shacabku wa shamsi ku qaadaaan,The public should storm them just like they did with Soltelco and Telesom.,,,
Cabdi Rahman Uweys: Bandhiga ugu hormarsan dalka,The most advanced exhibition in the country.,,,
Omer A Hassan: wa remove ba dogs bad tihine,"It is 'remove' [uninstall], you are dogs.",,,
Mohamed Abdirahman Saed: Ader lacagihiina ka urursada waa ishaynaa beriye,"Uncle, collect your monies from them, it is [happening] tomorrow.",,,
Abdiasis Abdulahi: Delete ban siiyey be maxa adeeg ah,"I gave it 'delete', what kind of service is this .",,,
Xidig Nageeye: Xaar xaar baa iigsa soo ura sidii aan u maqley iney evisah kullug lee yihiin,I smell s*** from it ever since I heard they are involved/have a hand in the E-Visa.,,,
Cabdiqaadir Jaamac: Horumar wacan,Good progress.,,,
Mahamett Amiin Ahmett: Wale bari inaad qaxdaan Mooye Xal Kale idiinma taal,"I swear, other than fleeing tomorrow, there is no other solution for you.",,,
AbdiJibaar O. Mohammed: Dalka waa idinka saarayaa diyaar garooba,"We are removing you from the country [Somaliland], get ready.",,,
Hussein Daanshood: Dhawaan waa laydin soo gaba gabeyn doona insha allahu .,"Soon you will be concluded/finished, Insha Allah.",,,
Maxamuud Ismaaciil: Dagaal u diyaar garooba dhamaan reer soomaliland aad la gashaan primer bank madaama uu isagu hor bilaabay,"Get ready for war, all people of Somaliland, to enter against Premier Bank since they started it first.",,,
Apdiaziz Ahmed: Waa ino khamiista wixii catalow carar imikaba ğŸ”¥ğŸ”¥,"It is Thursday for us; anyone who is weak/coward, run now ğŸ”¥ğŸ”¥.",,,
"Abdikarim Ali Askar: 12 dollar oo lays kala baxo amar la, aan mahayno",We don't have an order to withdraw $12 [sarcasm about fees].,,,
Abdullahi A. Yuusuf: Cidi u bahan Account Premier bank wa diyar... qof kas oo laga rabo Documents Dowlad. ğŸ‘‹,Anyone who needs a Premier Bank Account is ready... every person is required to have Government Documents. ğŸ‘‹,,,
Shaafici Maxamuud Abdi: Alaabtina kasii qata mesha,Take your things [money] from the place.,,,
MaDar OmaÅ™: Foostadii E-visa meel ma iskaga riixdeen inaydan qayb ka ahayn oo dalalka calamka bankinu uu lacagta uga soo ururiyoğŸ™„,"Did you push aside the E-Visa barrel [claiming] you are not part of it, and that the bank collects money for it from world countries? ğŸ™„",,,
Abdifatah Hariir Guleid: Labada lixa iyo Khamiista ğŸ‘ˆ,The two sixes [date/time?] and Thursday ğŸ‘ˆ.,,,
Cabdalla Isxaaq Xuseen: Marna ha baqinna #PremierBank wxii la idin geysto somtel io dahabshiil aa laga...,"Never fear #PremierBank, whatever is done to you, Somtel and Dahabshiil will be... [retaliated against/blamed].",,,
Axmed Xasan: Best great,Best great.,,,
Ali Mukhtar: Premier Bank adeeg amaano iyo daacad guulesta,"Premier Bank, honest and trustworthy service, succeed.",,,
Maxamed Axmed: Waa ino Bari lacagtaba hadaan so qaDan wayo Mesha taala ğŸ˜‚,"It is tomorrow for us, if I fail to get the money lying there [I'll be in trouble] ğŸ˜‚.",,,
Zamira Apdikadir: premier wallet is the best wlhi,"Premier wallet is the best, I swear.",,,
Abdi Wahid Halas: Barri ayaan idinka dhaansanayaa idinna xaraabaysi qyaabad iskaga jirtaan,Tomorrow I will withdraw [my fill] from you; you are involved in tricky/nonsense games.,,,
Khaalid Ibnu Abdi Abees: Khamiista go aan baa laydinka gaadhaya gaar ahaan Somaliland Premier Bank,"On Thursday a decision is being reached about you, especially in Somaliland, Premier Bank.",,,
UPthi Madoobe Farxaan: Xayasiin Aan loo Joogin Isku Boojeeya Toos niila Raafa ğŸ˜‚ğŸ˜‚,"Advertise where no one is present, push yourselves, straight to the trash with you ğŸ˜‚ğŸ˜‚.",,,
Sakarie Mahad Yousuf: Goor ay noqotaba JSL waa laydinka sifayne iska cambuulaysta.,"Whenever it may be, you will be cleansed from JSL (Somaliland), so just eat your cambuulo (keep dreaming).",,,
"Abdiladiv Omar: Hadiiba aad bilowdeen inaad reer Soomaliland lacag baad ah oo xaaran ah uga qaadan Xasan Sheekh, Somaliland way idiinka dhamaatay...","Since you started taking extortion money and haram money from the people of Somaliland for Hassan Sheikh, Somaliland is finished for you...",,,
Mohamed Abdirahman Seid: War taga jinaas yhy,"Go away, you devils.",,,
Abdirashid Ahmed-Nour Souly: Aaaya Calooshood ushaqeystayaashii Ku kacsanaa bank gaan ğŸ˜…,"Oh, the stomach-workers [mercenaries] who were against this bank [are here] ğŸ˜….",,,
Hibo Jirde: Post ma waxaa usoo dhigteen in la idinku kacsanyahay iyo in kale inaa ogaataanğŸ˜“,Did you post this to know if people are against you or not? ğŸ˜“,,,
"Mohamed Mohamoud Adem: Qaran dumis baad tihiin, waa laydiun jeedaa","You are nation destroyers, you are being watched.",,,
Abdirahman Abdirahman: wixiina kala baxa landers,"Withdraw your things, Landers [people of Somaliland].",,,
Abdullahi Ismail Awad: Hadii aanad qayb ka ahayn waxa la sheegayo is cadeeya oo kala saara ka somaliland iyo kan somalia oo laba page u kala sameeya,"If you are not part of what is being said, clarify it and separate the Somaliland one and the Somalia one, and make two separate pages for them.",,,
Abdi Shakuur Mohamet: Wlhi oo blhi hadaan DAWLAD wax idinka qaban anago shacaba oo dhalinyar ah weliga ba hawadiina kicinayna...,"I swear by Allah, if the GOVERNMENT doesn't do something about you, we the public and youth will never boost your air/reputation...",,,
Ahmed Wardi: Somaliland way idiinka dhamaatay shacabka somaliland diyaar ahaada tuugta dhashay kala baxa lacagtiina,"Somaliland is finished for you; people of Somaliland be ready, withdraw your money from the born thieves.",,,
,,,,
Abdiaziiz Abdalla Osman: Masha Allah waan u Jedna in hormar balaran Aad sameysen oo la idinka hiinsay oo xaqliyal la idinku so diray Gulleysta mar walbo Mel walbo Aad Xarun Ku lehedihiin,"Masha Allah, we see that you have made huge progress and people are jealous/envious of you and sending ""mind games"" against you; Succeed always, everywhere you have a center.",,,
Yaasiin Jaamac: waa in laysaga guura isticmaalka premier mar hadii uu qayb ka noqday dhibaataynta shacabka reer somaliland,We must move away from using Premier since it has become part of the harming of the people of Somaliland.,,,
Fartun Aadan: Premier waa adeeg laga wada relay dhamaan aduunka oodhan waana adeeg casri ah dag dag siimo wacan hore usocda guul iyo gobonomo xawaalad sareysa,"Premier is a service relied upon all over the world, it is a modern service, fast, good provision, keep going forward, success and sovereignty, a high-level transfer service.",,,
Fawsi Ciise: Tuugsi ayaan tihiin umadana way idinka tashan doontaa ğŸ¤£,"You are begging/beggars, and the public will decide against you (boycott you) ğŸ¤£.",,,
Saed Bigile: Afka halkaa ku qorani maaha lahjada Somaliland sidaa daraadeed waa inaa Somaliland si degdeg ah uga baxdaan,"The language written there is not the Somaliland dialect, therefore you must leave Somaliland immediately.",,,
Gobaad Aden: E.visa dii kawarama ma khali garaysen,"Tell us about the E-visa, have you cleared/solved it?",,,
Baxsane Axmed: Hadaanu idinka dhanaansan weyno waad nooso dhigateene ğŸ˜‚ğŸš©,"If we don't withdraw [our fill/funds] from you, you will set traps for us ğŸ˜‚ğŸš©.",,,
Wacays Ali Omar: Waan iska Joojiyey Adeegiinii Madaamo oo aad Huwan Noqoteen si aad dadka reer Somaliland u dhibaateysaana Aad La shaqeysanaysaan Mooryaanta Xamar Joogta,I stopped using your service since you became a 'Huwan' (militia/proxy) to harm the people of Somaliland and you are working with the Mooryaan (bandits) staying in Xamar [Mogadishu].,,,
Mukhtaar Haaji Mire: Premier bank waa bank u adeega bulshadiisa guuleeysta,"Premier Bank is a bank that serves its society, succeed.",,,
Saddam Carab: Haduu kugu dumay dadka amaahi!,"If it collapsed on you, loan to the people!",,,
Abdisalaan Ciise Ismail: Dalka iskaga baxa waxad dhawac ku tihiin qaranimada Somaliland laydin dulqadan mayo bararusooy,"Get out of the country, you are an injury to the nationhood of Somaliland, you will not be tolerated, you cockroaches.",,,
Abdirahman Ibrahim Egalgelle: WAAR LACAGTAADA KALA BAX INTA AAN LAGAA XANIBIN,HEY WITHDRAW YOUR MONEY BEFORE IT IS BLOCKED/FROZEN FROM YOU.,,,
Zaki Saeed Fiish: Miyaan waalanahay markan khaainul waddan shirkadooda isticmaalyo,Am I crazy to be using the company of national traitors at this time?,,,
Sakariye Xasan: oo mashala reer somaliland sirta fahma khamiistağŸ¤«,"Oh Mashallah, people of Somaliland understood the secret, Thursday ğŸ¤«.",,,
Suhayb Ahmath: Tuugbaa tihiin,You are thieves.,,,
Nahaar Ibnu Yasin: Wallet bad ka sheekaynsaa khamiista la idinku soo socda adeeer,"You are talking about Wallet? Thursday they are coming for you, uncle.",,,
Zaki Abdyzalan: Baad urursadayaal,Extortion collectors.,,,
TÃ¨acher Cabdimajiid QaLinle: Tuug qaran dumis,"Thieves, nation destroyers.",,,
Mubaarig Tolwanaje: Tuug ayaa tihiin,You are thieves.,,,
Maarig Cabdi: Waa inooyo Barri,It is [between us] tomorrow.,,,
We love Somaliland: Somaliland way idiinka dhamaatay!,Somaliland is finished for you!,,,
Sharmake Dhado: Premier wallet kaaga haboon kuwa kale,Premier wallet is more suitable for you than others.,,,
A Fathah Ahmeth: Inaan furto ayaan rabay waan se ka laabatay Dahabshiil baa inoo balan ah,"I wanted to open [an account] but I turned back, Dahabshiil is the promise for us.",,,
Muhzin Moha: Post waxay uso dhigeen si ay u ogadeen inay dadka ku kacsan yihiin iyo in kalle! ğŸ˜‚,They posted this just to know if people are rising up against them or not! ğŸ˜‚,,,
Jss En: Khamista iskga sii orda gobihiina somaliland ğŸ¦•,Run away from your Somaliland locations on Thursday ğŸ¦•.,,,
Abdirisak Qobcade: Cidii lacag ugu jirtaa hakala baxdo ee reer Somaliland ah bangigagan albaabadaa loo laabayaa bisha danbe insha allah,"Anyone from Somaliland who has money in it should withdraw it; this bank's doors are being closed next month, Insha Allah.",,,
Maxamed Muuse: Lacagta reer somaliland oo ay gacantooda dulmane uga yihiin dad aqoon cadowgooda waa ka maalgalin doon diyaarada hargeysa dumin doona mustaqbalka...,The money of Somaliland people... they are funding the airplane that will destroy Hargeisa in the future with the people's own money...,,,
Bintu Ibrahim Hussein: Bari waa ina albaabada lagu laaba hadii alle idmo dawladii hadii ay kaa warwareegtay shacabkaa ku sheegaya waxad tahay xoog albaabada kugu laabaya,"Tomorrow the doors must be closed, God willing; if the government hesitates/delays, the public will show you who you are and close the doors on you by force.",,,
Sacad Mohamed Aw Hassan: Daalimiin qaranka kusoo dulay ayaad tihiin,You are oppressors who invaded the nation.,,,
Mahamud Abdi Haji: Waa Bank aad u fiican intaan ka isticmaalay,It is a very good Bank as much as I have used it.,,,
Sharmake Dhado: Adeega koobad ee dalka #premierwallet,The number one service in the country #premierwallet.,,,
Hoodo Cawed: Lagu baray oo lagu baray.,You were taught a lesson/You were known.,,,
Idriz Abdi Yuzf: Tiug tuug dhashay,Thief born of a thief.,,,
Jamo Whouter: Aar ilahay ka baqoo umada dhibka ka daaya,"Oh, fear God and stop harming the public.",,,
Mohammed Ilaaq: Waa inoo bari albaabadaa layskugu kiin laabayaa shuubaa idin dhashaye,"It is tomorrow for us, the doors will be closed on you, you were born of calamity/trash.",,,
Waar kani bank Maaha wallahay Shalay ayaan utagnay Qolo xawaalad ah ayaa lacag noogu soo diray Wixi naga raacay waan yaabnay wallahay,"This is not a bank, I swear to God. We went to a remittance company yesterday. They sent us money, and we were shocked by what happened to us, I swear to God.",,,
"Dadka intooda badan waa small
Scale businesses, marka la dhaho bixi $25 maintenance fee bill walbo, 3-4% transaction fee maxaa usoo harayo?","Most people are small-scale businesses, so when they are told to pay a $25 maintenance fee for every bill, and a 3-4% transaction fee, what is left for them?",,,
"Waar kani bank ğŸ¦ maha, waligey wax ka services xun man arkin runtii waaa very poor service.","This is not a bank ğŸ¦, I have never seen worse services, it is truly very poor service.",,,
Isn't there any response,Sow jawaab ma jirto,,,
Ama isheg number customÃ¨r care ah,Or give me a customer care number.,,,
Sxb iga cawiya sidi an lcag ku dhigi laha walletkeyga,"Friend, help me how to deposit money into my wallet.",,,
"Premier Bank 10 kan fee ee Mastercard aad ka goosanaysaani waa noocma nio! Fee-gee sanadlaha ahaa ma soo dhaafteen ğŸ˜¡ transaction walba fee bad ka goosanaysaan, sannadkiina fee bad naga qaadaysaan","Premier Bank, what kind of 10-fee is this for the Mastercard you are deducting?! Haven't you passed the annual fee ğŸ˜¡ you deduct many fees for every transaction, and you also take many fees from us annually.",,,
Is it scam or genuine?,Is it scam or genuine?,,,
Somalia ğŸ‡¸ğŸ‡´ bank ğŸ¦ be careful guys,Somalia bank be careful guys,,,
Uganda xafiis makuleedihii,Does Uganda have an office?,,,
Salaam Bank free ayaa la helayaa maxaa lagu falayaa kan.,"Salaam Bank is available for free, what is the use of this one?",,,
sow ma ogidin inaad dadka dhacdaan oo tidhaahdaan lacagtii waad la baxaday marka qofku cardka galiyo ushaqayn waayo kadibna message usoo dhaco inuu lacagtii la baxaday oo aad diideeen inaad camerada eegtaan inaan lacag qaatay dadbadan lacagtoodii sidaa kuwaayay Hargeisa,"Didn't you know that you rob people and say that you have withdrawn the money when the person puts the card in and it doesn't work, and then a message comes to them that they have withdrawn the money, and you refuse to look at the camera to see if I have taken the money, many people lost their money like that in Hargeisa.",,,
maxa lagu egaa akonka,What is the account checked for?,,,
"Master Card Premier Bank waa $3, sanadkiina $12 ayay kaa goosan â€” bishii $1. Marka aad lacag ku shubato ayaa lagaa jarayaa, hore laguuguma sheegayo, mana jirto meel caddeynaysa jaristaas ama si furan laguugu sheegi maayo.
Master Card Darasalaam waa free, sanadkiina waxba lagaa goosan maayo.
Haddana weli waxaad arkaysaa dad iibsanaya Premier Bank Master Card.
""Nin qalbi la quraanka uu akhriyay Qaaf dhe ku haraadye.""","Master Card Premier Bank is $3, and they deduct $12 annually â€” $1 per month. When you deposit money, it is deducted, you are not told beforehand, and there is no place to clarify this deduction or tell you openly. Darasalaam Master Card is free, and nothing is deducted from you annually. Yet, you still see people buying Premier Bank Master Card. ""A person whose heart reads the Quran with 'Qaaf' is still thirsty.""",,,
"Guuleysta waxaan idinka codsaneynaa in
Elite card qiima jaban qurbajoogta uga dhigtaan si ayagoo dalka ka maqan ay lacag kaga shubtaan wadan walba oo ay jooga si sahlana ay kala bixi karaan","Congratulations, we ask you to make the Elite card cheap for the diaspora so that they can deposit money from any country they are in while they are away from the country and withdraw it easily.",,,
Visa card si online ah ma u furan karaa,Can I open a Visa card online?,,,
"Adeeg dunida la jaanqaaday waad heysaaan Blse
Ma aadan baran la macaamilka macmiilka","You have a service that is in line with the world, but you haven't learned how to deal with the customer.",,,
Service charge ka yareeya,Reduce the service charge,,,
"Appka aad ayu uhoseya nashqadentisa iska hagajiya, itâ€™s disgusting","The app's design is very low, fix it, itâ€™s disgusting.",,,
Premier Bank qeybta bank statements address ku soo dara iney soo aqriso,"Premier Bank, include the address in the bank statements section so they can read it.",,,